5.88,-2.21,32.9,-82.0
5.1,-2.43,31.9,-76.3
4.37,-2.56,31.0,-70.3
3.7,-2.64,30.0,-64.1
3.09,-2.68,29.2,-57.9
2.53,-2.69,28.3,-51.9
2.03,-2.67,27.5,-46.2
1.59,-2.63,26.7,-40.9
1.2,-2.56,26.0,-36.2
0.8690000000000001,-2.49,25.3,-32.1
0.578,-2.41,24.7,-28.8
0.317,-2.35,24.0,-26.3
0.0743,-2.31,23.4,-24.3
-0.158,-2.3,22.8,-22.6
-0.384,-2.32,22.2,-21.0
-0.6,-2.36,21.6,-19.4
-0.8009999999999999,-2.42,21.0,-17.7
-0.98,-2.48,20.4,-16.0
-1.13,-2.54,19.9,-14.4
-1.27,-2.61,19.4,-13.2
-1.38,-2.68,18.9,-12.4
-1.49,-2.75,18.5,-12.4
-1.6,-2.86,18.1,-12.9
-1.72,-2.99,17.6,-13.8
-1.87,-3.17,17.2,-14.8
-2.03,-3.38,16.8,-15.6
-2.21,-3.62,16.4,-16.0
-2.38,-3.88,16.0,-16.0
-2.55,-4.14,15.6,-15.6
-2.7,-4.39,15.3,-15.1
-2.85,-4.65,15.1,-14.8
-2.98,-4.91,14.8,-15.0
-3.12,-5.2,14.7,-16.0
-3.28,-5.51,14.5,-17.9
-3.47,-5.88,14.4,-20.7
-3.69,-6.3,14.2,-24.1
-3.96,-6.77,14.1,-27.9
-4.26,-7.31,14.1,-31.7
-4.61,-7.9,14.0,-35.5
-4.98,-8.53,14.0,-38.9
-5.39,-9.22,14.1,-41.8
-5.82,-9.94,14.2,-44.3
-6.27,-10.7,14.4,-46.5
-6.74,-11.5,14.7,-48.4
-7.24,-12.2,15.2,-50.2
-7.75,-13.0,15.7,-51.9
-8.28,-13.8,16.3,-53.8
-8.82,-14.6,17.1,-55.6
-9.39,-15.4,18.1,-57.5
-9.97,-16.1,19.1,-59.1
-10.6,-16.8,20.3,-60.3
-11.2,-17.4,21.7,-60.8
-11.8,-17.8,23.1,-60.2
-12.4,-18.2,24.7,-58.2
-12.9,-18.4,26.3,-54.5
-13.5,-18.3,28.0,-49.0
-13.9,-18.1,29.7,-41.7
-14.3,-17.5,31.4,-32.7
-14.6,-16.8,33.0,-22.3
-14.7,-15.8,34.4,-10.9
-14.8,-14.6,35.7,1.26
-14.7,-13.3,36.8,13.7
-14.5,-11.8,37.6,26.1
-14.2,-10.3,38.2,38.0
-13.8,-8.78,38.4,49.0
-13.2,-7.29,38.5,58.7
-12.6,-5.87,38.3,66.9
-11.9,-4.56,37.9,73.3
-11.1,-3.38,37.4,77.9
-10.3,-2.37,36.7,80.5
-9.51,-1.51,35.9,81.4
-8.7,-0.81,35.1,80.7
-7.92,-0.243,34.2,78.5
-7.15,0.207,33.3,75.1
-6.41,0.556,32.4,70.8
-5.71,0.812,31.6,65.7
-5.07,0.983,30.7,60.2
-4.49,1.08,29.8,54.6
-3.98,1.1,29.0,49.1
-3.53,1.08,28.2,44.1
-3.12,1.03,27.3,39.6
-2.75,0.958,26.6,35.7
-2.41,0.892,25.8,32.3
-2.1,0.8320000000000001,25.1,29.2
-1.81,0.7759999999999999,24.5,26.4
-1.56,0.722,23.8,23.7
-1.33,0.665,23.2,20.9
-1.14,0.606,22.6,18.2
-0.97,0.545,22.0,15.7
-0.828,0.484,21.4,13.3
-0.7090000000000001,0.426,20.8,11.1
-0.608,0.369,20.3,9.32
-0.524,0.315,19.7,7.89
-0.45399999999999996,0.266,19.2,6.8
-0.392,0.223,18.7,6.01
-0.335,0.19,18.2,5.43
-0.28300000000000003,0.166,17.7,4.96
-0.233,0.151,17.3,4.52
-0.187,0.141,16.8,4.05
-0.146,0.135,16.4,3.54
-0.111,0.131,16.0,2.99
-0.0825,0.126,15.5,2.47
-0.0617,0.11800000000000001,15.1,2.02
-0.0479,0.107,14.7,1.69
-0.0384,0.0964,14.3,1.48
-0.0293,0.0889,14.0,1.38
-0.0175,0.0877,13.6,1.33
-0.00165,0.0939,13.2,1.24
0.0166,0.105,12.9,1.07
0.0337,0.11800000000000001,12.6,0.7929999999999999
0.0453,0.126,12.2,0.44
0.0486,0.126,11.9,0.0785
0.0434,0.11900000000000001,11.6,-0.204
0.0329,0.106,11.3,-0.32899999999999996
0.022,0.095,10.9,-0.259
0.0161,0.0904,10.6,-0.00146
0.019,0.0968,10.4,0.39299999999999996
0.031,0.114,10.1,0.851
0.0494,0.14,9.83,1.3
0.0695,0.16899999999999998,9.58,1.69
0.088,0.19699999999999998,9.33,2.0
0.105,0.225,9.09,2.23
0.12300000000000001,0.255,8.86,2.4
0.14400000000000002,0.29,8.63,2.51
0.17,0.332,8.41,2.57
0.19899999999999998,0.37799999999999995,8.2,2.58
0.22699999999999998,0.426,8.0,2.54
0.254,0.473,7.8,2.46
0.27699999999999997,0.518,7.59,2.35
0.298,0.564,7.39,2.25
0.319,0.613,7.19,2.18
0.342,0.6659999999999999,7.0,2.18
0.366,0.7240000000000001,6.8,2.3
0.391,0.7859999999999999,6.62,2.57
0.418,0.8540000000000001,6.43,3.01
0.449,0.93,6.25,3.65
0.48700000000000004,1.02,6.07,4.45
0.5329999999999999,1.12,5.91,5.39
0.591,1.24,5.75,6.41
0.66,1.39,5.61,7.45
0.742,1.55,5.47,8.47
0.836,1.74,5.35,9.45
0.94,1.94,5.23,10.4
1.05,2.17,5.12,11.4
1.17,2.41,5.01,12.5
1.3,2.68,4.91,13.9
1.44,2.97,4.81,15.4
1.59,3.3,4.73,17.3
1.78,3.68,4.66,19.4
1.98,4.1,4.62,21.8
2.22,4.57,4.6,24.3
2.48,5.1,4.61,27.0
2.77,5.68,4.64,29.9
3.08,6.32,4.71,32.9
3.43,7.01,4.8,36.2
3.8,7.77,4.94,39.8
4.21,8.6,5.13,43.7
4.67,9.5,5.39,48.1
5.17,10.5,5.74,52.9
5.73,11.6,6.18,58.0
6.34,12.8,6.75,63.5
7.01,14.0,7.46,69.3
7.74,15.3,8.33,75.3
8.52,16.7,9.4,81.5
9.37,18.2,10.7,87.7
10.3,19.6,12.3,93.5
11.2,21.0,14.1,98.5
